Sangtittel,Komponist,Tekstforfatter,Artist,Språk,Kategorier
Sommaren är kort ,Tomas Ledin ,Tomas Ledin,Tomas Ledin,Svensk,"Allsang, pop"
En vänlig grönskas rika dräkt,Waldemar Åhlen,Carl David af Wirsen,Ukjent,Svensk,Salme
Uti vår hage,Folketone,Folketone,Ukjent,Svensk,"Allsang, folketone"
Uti vår mage,Uti vår hage,Anonym,Ukjent,Svensk,Drikkevise
Du skal ikkje sova burt sumarnatta,Geirr Tveitt,Aslaug Låstad Lygre,Alf Cranner,Norsk,"Vise, folketone"
Here comes the sun,George Harrison,George Harrison,Beatles,Engelsk,"Allsang, pop"
Neste sommer,Lars Lillo Stenberg,Lars Lillo Stenberg,de Lillos,Norsk,"Allsang, vise, pop"
In the summertime,Ray Dorset,Ray Dorset,Mungo Jerry,Engelsk,"Allsang, pop"
Sommartider,Per Gessle,Per Gessle,Gylne Tider,Svensk,"Allsang, pop"
Bysommer,Lillebjørn Nilsen,Lillebjørn Nilsen,Lillebjørn Nilsen,Norsk,"Allsang, vise"
Sønnavindsvalsen,Bjarne Ahmedal,Alf Prøysen,Eriksen,Norsk,"Allsang, vise"
Plukka plommar i Hardanger,3 busserulls,3 busserulls,3 bussserulls,Norsk,"Allsang, vise"
Noen ganger er det ålreit,Lars Martin Myhre,Odd Børretzen,Odd Børretzen,Norsk,"Allsang, vise"
En solskinnsdag,Postgirobygget,Postgirobygget,Postgirobygget,Norsk,"Allsang, pop"
Summer of ’69,Jim Vallance,Bryan Adams,Bryan Adams,Engelsk,Rock
Club tropicana,Wham,Wham,Wham,Engelsk,Pop
Svantes Lykkelige dag,Benny Andersen,Benny Andersen,Povl Dissing,Dansk,"Allsang, vise"
Gräsänkling blues,Povel Ramel,Povel Ramel,Povel Ramel,Svensk,Jazz
Idas sommarvisa,Georg Ridel,Astrid Lindgren,Lena Wisborg,Svensk,"Allsang, vise"
Summer holiday,Cliff Richard,Cliff Richard,Cliff Richard,Engelsk,"Allsang, vise"
Gøy på landet,Leslie Sarony,Arne Svendsen,The Monn Keys,Norsk,"Barnesang, allsang"
Parklife,Blur,Damon Albarn,Blur,Engelsk,"Allsang, pop"
Visa vid vindens ängar,Mats Paulson,Mats Paulson,Mats Paulson,Svensk,"Allsang, vise"
Änglamark,Evert Taube,Evert Taube,Sven-Bertil Taube,Svensk,"Allsang, vise"
Summertime,George Gershwin,DuBose Heyward,Ella Fitzgerald,Engelsk,Jazz
Ooa hela natten,Åke Eriksson,Björn Uhr,Attack,Svensk,"Allsang, pop"
Walking on Sunshine,Kimberley Rew,Kimberley Rew,Katrina and the Waves,Engelsk,Pop
Summer nights,"Jim Jacobs, Warren Casey","Jim Jacobs, Warren Casey",Grease,Engelsk,"Pop, musikal"
